"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"C12orf57",15.85481,15.09541,15.63829,15.60066,15.55412,15.59768,15.40353,15.07413,15.26792,15.63486,15.3343110592165,15.1818774550336,15.48233,15.60346,15.38688,15.54809,15.4921,15.40927,15.25867,15.02931,15.4013,15.42898
"PHB2",19.14437,18.56615,18.52513,19.01137,18.56659,18.76364,18.65672,18.63287,18.85902,18.78071,18.444,18.5131,19.02586,19.03212,18.47232,19.1441,18.59713,18.74995,18.71282,18.77319,18.1239,18.4737
"COPS8",16.855,15.85065,16.29668,16.40875,15.96079,15.92593,15.92122,16.00354,16.17914,16.0441,15.55382,15.98869,16.60454,16.48814,16.32769,17.30463,16.20301,15.9716,16.32888,15.83398,15.97488,16.17001
"CHP1",15.39425,15.75335,15.27204,15.3446,15.5256767157884,15.53074,15.29989,15.45705,15.66634,15.36131,15.92736,16.02573,15.53163,15.84694,14.82469,15.14045,15.21086,15.62451,15.62312,15.51907,15.31607,15.18189
"MGLL",16.50568,16.29947,16.53187,16.67985,16.59224,16.64319,16.40358,16.25408,16.98684,16.5511,16.90173,16.96798,15.20872,15.2057815692244,15.00259,15.32744,14.63037,15.51947,15.43638,15.59055,15.58023,14.65689
"DOK1",15.8907,15.88612,15.84475,15.7514,16.13702,15.88419,15.80021,15.35075,15.85601,15.92933,15.42278,15.88931,15.53561,16.20095,16.34254,15.81844,15.75117,15.21459,16.18009,15.92998,15.77814,15.44806
"HSD17B10",17.77526,17.10463,17.59243,17.65736,17.35333,17.33607,17.45098,17.43692,17.7969,17.70874,17.36682,17.62593,18.00724,18.2403,17.47071,18.0345,17.63597,17.96258,18.28293,18.21415,17.50213,17.80337
"SIGMAR1",15.35215,15.45116,15.4905,16.12364,15.41643,15.91967,15.52161,15.28644,16.14469,15.93392,15.87188,15.84642,16.82898,16.05934,15.88382,16.3076,15.78946,16.45568,16.75384,16.57049,15.86383,16.3093
"NAP1L4",19.44485,18.73962,19.05546,18.92075,18.52295,18.64524,18.91441,18.83904,19.01364,18.88012,18.48033,18.37977,18.88224,19.13609,19.22475,19.33308,19.09752,18.5802,18.25687,18.65314,19.05764,19.13389
"NAPG",16.18353,15.35567,16.21339,15.64277,15.318275619977,15.6165,15.49559,15.3243867899619,16.35855,15.4325,15.60644,15.4945059066584,15.40366,16.45009,15.37786,15.77334,15.68376,15.59563,15.98194,15.91367,15.40879,15.62048
"ACO2",17.38431,17.34504,17.48274,17.08183,17.2517,17.48743,17.30277,17.62591,17.64717,17.62101,17.46712,17.53671,17.17634,17.7682,16.77367,17.27825,16.86409,17.65073,17.80291,17.60108,17.45708,17.32349
