"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"RAD23A","0.0","38946.01","38175.215","35733.72","42356.7","0.0","34382.67","0.0","36654.344","0.0","0.0","50736.926","0.0","0.0","0.0","20200.902","19505.113","47547.82","0.0","0.0","33847.797","20095.824"
"RAD23B","295461.2","261441.9","311332.44","322675.97","288849.56","262676.3","307770.25","278809.56","322894.66","271043.44","304313.8","299206.56","396953.06","448094.78","393934.84","442091.22","370689.16","420368.72","347375.06","304237.7","353082.28","413839.9"
"EPHB3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"EPHA5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NAGLU","0.0","61037.707","34978.105","46956.336","61151.965","50483.504","41297.168","44647.242","47042.45","50371.895","55414.6","54925.14","55334.527","41363.434","37027.01","40368.617","52741.492","76768.875","45168.426","59250.395","58317.684","66556.8"
"GALC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK2","191729.17","162191.84","170893.98","189977.83","180869.98","214616.14","162953.03","164210.33","161689.1","176490.83","162360.58","144901.25","190971.9","180725.62","136408.1","196651.05","176532.4","198849.73","218729.97","192951.83","173471.53","167181.45"
"PRRX1","78391.836","59238.027","0.0","59347.277","0.0","0.0","47817.95","51686.88","0.0","54683.164","0.0","0.0","60686.695","0.0","0.0","65823.48","66233.555","0.0","0.0","0.0","38779.0","33719.94"
"EMP3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ALDH18A1","111629.67","128618.445","149362.55","135329.11","146712.5","150769.83","142332.97","144176.47","173516.22","175301.52","194612.9","191795.42","137266.92","131719.16","158619.78","108381.34","127176.29","145908.42","197363.02","213997.52","136369.17","156825.48"
