"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"CASP7",12.38198,12.47359,12.59861,12.49285,12.30216,12.32763,12.99228,12.43622,12.71396,12.84898,12.37572,12.34323,13.4264,12.67612,13.57102,12.8989,12.97201,12.07718,13.94061,13.16456,12.90309,13.12511
"CAST",14.86827,14.38948,15.23865,14.448,15.39221,15.31334,14.94602,15.40124,15.25718,14.76136,15.02226,15.18448,14.76858,14.99752,15.14408,14.892,15.20756,14.96809,15.05593,15.62516,15.19356,15.10282
"CASTOR2",11.4371,11.0569,10.76017,11.50886,11.23646,10.87537,11.15727,10.5288,10.73727,10.12506,11.31035,11.29092,10.66518,10.99273,10.24533,10.8069,11.03326,10.53887,10.16351,11.28292,11.06532,11.81172
"CAT",14.06914,14.70627,14.09757,14.10362,14.52147,14.53044,14.50977,14.40595,14.40666,14.6696,13.94112,14.38445,13.28276,13.75267,13.21862,13.124,14.45645,14.40928,13.9553,14.95806,14.21528,14.43531
"CAVIN1",18.18923,18.34641,18.54128,18.41387,19.03672,18.66528,18.60054,18.71814,18.68647,18.61247,18.57929,18.61174,18.15443,17.16046,17.84566,16.04759,17.34444,16.26869,17.79062,18.77549,18.32668,18.54554
"CAVIN2",9.30849,10.58157,9.42082,9.78686,10.99171,10.57835,11.04365,10.45778,10.29461,10.84266,12.08414,11.4551,14.02528,13.33897,13.66473,11.60398,13.73191,12.56012,13.29816,13.57384,14.90446,14.20169
"CAVIN3",16.67068,15.69225,16.57854,15.98335,17.12359,16.41498,16.79907,17.01846,16.62171,16.05373,16.83504,16.45354,15.61801,16.73799,15.07936,14.86168,14.27141,14.13694,15.46238,16.93452,15.86658,16.45607
"CBFB",13.67109,13.2836,13.38388,13.65307,14.05779,13.48266,13.80804,13.3555,13.27462,13.46442,13.86118,13.89269,13.33996,13.38553,13.49634,13.7415,13.59845,12.94148,13.63607,13.46092,13.40456,13.41261
"CBL",10.86354,9.74859,11.65207,9.61087,10.90636,10.65577,11.07868,10.64251,11.41458,10.48496,11.00104,10.26504,9.79558,10.56064,10.50027,10.11434,11.0531,11.09418,9.79048,11.06153,10.54003,10.54209
"CBLB",12.64646,12.25777,13.094,12.25395,12.68066,12.49211,11.91582,12.16674,12.47113,12.2979,12.11206,12.13131,11.07993,12.2251,10.3633,12.27264,12.22254,12.02786,10.94978,11.92016,11.57359,11.09394
