Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
NCAPH	1142.01	1214.03	649.296	1505.33	2105.6	2156.35	1906.77	1272.65	1189.22	896.492	1111.17	1077.32	1037.33	923.448	546.149	592.207	623.128		535.338	1305.59	1094.88	591.643	1460.06	668.885
NCBP1	12567.9	12908.5	11845	12596.8	13039.3	15554.5	17202	13466.5	11930.1	11599.9	12968.1	10221.2	9846.83	20427.7	3481.51	7240.41	4599.34	12660.8	8485.49	11832.8	8798.94	14442.8	10517.2	11058.3
NCBP2						444.355		465.856					608.285								971.584			1212.7
NCBP3		1059.4			2055.52	1612.9			1900.43				1093.06								1383.39		905.7	1199.5
NCDN	4437.21	5224.06	5308.87	6414.38	4963.53	4749.54	5281.81	4080.42	5967.83	6380.87	4891.97	4849.68	5852.54	5935.54	7321.66	6450.11	5772.54	7295.55	10729.5	9332.03	5296.33	6155.83	5635	5087.06
NCEH1	19048.6	13328.8	16056.7	12350.6	27694	21899.1	24657.5	21982.2	25336.8	17425.3	37566.1	18026.1	25011.8	25698.1	31409.1	27321.4	30700.3	30422.7	41315.1	37318.1	43837.8	25720.2	38852.6	21461.1
NCK1	2843.14	3593.89	3527.72	3595.79	4510.17	4878.36	5026.69	4635.42	3337.32	4316.02	4209.9	3959.66	2274.92	3618	4041.9	2522.77	3658.43	2596.27	2992.93	4170.02	2852.25	4228.5	3984.75	3990.64
NCK1;NCK2		3320.11	3382.89	2839.19	10932.8	7840.73	4262.78	7631.21	5955.46	6475.22	6127.79	8179.26	6324.91	11197.4	9578.06	14154.6	10102.9	6709.07	11407.5	14174.6	9275.15	12426.3	5296.1	13723.7
NCK2	3528.55	3430.38	2424.5	4410.72	2485.24	3996.47	4129.54	3822.55	2594.84	3615.68	3106.37	3297.85	1962.86	3036.57	1388.32	2632.23	2312.12	2603.72	3104.45	2227.27	2612.42	5654.02	2649.58	4710.52
NCKAP1	13612.8	13715.1	12778.5	14745.1	9081.88	13906.2	16636.9	14200.1	12853.9	15728.5	16030.9	11948.5	12579.3	11960.9	9140.3	9625.75	9369.08	14194.1	11343.4	15614.4	9159.13	13075.8	11767.9	13840.1
NCKIPSD	2657.95	4337.84	2749.86	4276.91	1793.37	3894.22	2730.86	3974.93	2388.57	4311.94	2722.62	3698.39	1487.01	3658.62	1414.89	2988.35	2495.74	4118.31	2913.3	4886.74	1750.99	4912.3	2103.04	3754.07
